type	latitude	longitude	altitude (m)	name	desc
W	45.777222000	3.087025000	412.5	Clermont-Ferrand, Frankrijk	
W	45.042768000	3.882936000	637.9	Le Puy-en-Velay, Frankrijk	

type	latitude	longitude	altitude (m)	name	desc
T	45.777220000	3.087000000	412.7	Clermont-Ferrand, Frankrijk - Le Puy-en-Velay, Frankrijk	132 km, 8:07
T	45.777450000	3.086970000	414.0		
T	45.777450000	3.086970000	414.0		
T	45.777460000	3.087150000	412.9		
T	45.777460000	3.087730000	408.5		
T	45.777480000	3.088030000	405.8		
T	45.777440000	3.088570000	401.1		
T	45.777440000	3.088570000	401.1		
T	45.777440000	3.089200000	396.8		
T	45.777440000	3.089280000	396.5		
T	45.777440000	3.089370000	396.2		
T	45.777440000	3.089450000	395.9		
T	45.777430000	3.089480000	395.8		
T	45.777430000	3.089500000	395.7		
T	45.777410000	3.089510000	395.6		
T	45.777380000	3.089530000	395.5		
T	45.777340000	3.089550000	395.3		
T	45.777340000	3.089550000	395.3		
T	45.777340000	3.089710000	394.7		
T	45.777320000	3.089770000	394.5		
T	45.777320000	3.089840000	394.2		
T	45.777320000	3.089920000	393.9		
T	45.777310000	3.089970000	393.7		
T	45.777350000	3.090090000	393.3		
T	45.777350000	3.090090000	393.3		
T	45.777250000	3.090090000	393.0		
T	45.777010000	3.090080000	392.5		
T	45.776990000	3.090070000	392.5		
T	45.776680000	3.090080000	391.6		
T	45.776500000	3.090070000	391.3		
T	45.776470000	3.090070000	391.2		
T	45.776380000	3.090070000	391.0		
T	45.776310000	3.090070000	390.8		
T	45.776200000	3.090070000	390.6		
T	45.776100000	3.090070000	390.4		
T	45.776040000	3.090080000	390.2		
T	45.775990000	3.090100000	390.0		
T	45.775950000	3.090120000	389.8		
T	45.775760000	3.090100000	389.4		
T	45.775450000	3.090090000	388.7		
T	45.775040000	3.090070000	387.7		
T	45.774700000	3.090070000	386.5		
T	45.774440000	3.090040000	385.8		
T	45.774230000	3.090040000	385.0		
T	45.773830000	3.090010000	383.4		
T	45.773570000	3.090000000	382.1		
T	45.773470000	3.090000000	381.7		
T	45.773270000	3.090000000	380.8		
T	45.773220000	3.089990000	380.8		
T	45.772940000	3.089980000	380.1		
T	45.772280000	3.089960000	378.6		
T	45.772280000	3.089960000	378.6		
T	45.772000000	3.089890000	378.1		
T	45.771930000	3.089890000	378.0		
T	45.771830000	3.089890000	377.8		
T	45.771830000	3.089890000	377.8		
T	45.771880000	3.090020000	377.5		
T	45.772010000	3.090220000	378.0		
T	45.772510000	3.090960000	377.6		
T	45.773060000	3.091690000	375.6		
T	45.773180000	3.091850000	375.4		
T	45.773260000	3.091960000	375.2		
T	45.773260000	3.091960000	375.2		
