type	latitude	longitude	altitude (m)	name	desc
W	51.046626500	3.720628100	7.9	51.0466265,3.7206281	Verlorenkost 15, 9000 Gent, België
W	51.048021300	3.729290300	11.2	51.0480213,3.7292903	Frankrijkplein 514, 9000 Gent, België

type	latitude	longitude	altitude (m)	name	desc
T	51.046620000	3.720630000	8.0	Verlorenkost 15 - Frankrijkplein 514	0.8 km, 0:04
T	51.046570000	3.721000000	10.7		
T	51.046560000	3.721120000	11.4		
T	51.046420000	3.721820000	16.3		
T	51.046380000	3.722110000	18.2		
T	51.046380000	3.722110000	18.2		
T	51.046300000	3.722120000	18.4		
T	51.046260000	3.722180000	18.8		
T	51.046160000	3.722270000	19.2		
T	51.046160000	3.722270000	19.2		
T	51.046180000	3.722450000	19.8		
T	51.046210000	3.723850000	26.7		
T	51.046270000	3.724920000	30.9		
T	51.046230000	3.725940000	30.2		
T	51.046230000	3.726550000	26.1		
T	51.046230000	3.726870000	24.7		
T	51.046230000	3.726870000	24.7		
T	51.046390000	3.726910000	25.1		
T	51.047320000	3.727120000	25.7		
T	51.047550000	3.727170000	25.3		
T	51.047640000	3.727180000	25.2		
T	51.047730000	3.727190000	25.1		
T	51.047990000	3.727290000	22.7		
T	51.047990000	3.727290000	22.7		
T	51.048000000	3.728110000	20.4		
T	51.048010000	3.728430000	18.1		
T	51.048020000	3.728770000	14.4		
T	51.048020000	3.728810000	13.9		
T	51.048030000	3.729050000	12.4		
T	51.048030000	3.729090000	12.3		
T	51.048030000	3.729190000	11.8		
T	51.048030000	3.729190000	11.8		
T	51.048020000	3.729290000	11.2		
