type	latitude	longitude	altitude (m)	name	desc
W	44.123448600	5.180476400	307.8	44.1234486,5.1804764	233 Avenue Barral des Beaux, 84410 Bédoin, Frankrijk
W	44.174336200	5.279575300	1889.9	44.1743362,5.2795753	D974, 84390 Bédoin, Frankrijk

type	latitude	longitude	altitude (m)	name	desc
T	44.123410000	5.180560000	307.1	233 Avenue Barral des Beaux - D974	22.0 km, 0:59
T	44.123390000	5.180540000	306.8		
T	44.123270000	5.180450000	305.4		
T	44.123190000	5.180380000	304.8		
T	44.123190000	5.180380000	304.8		
T	44.123180000	5.180620000	304.3		
T	44.123180000	5.180650000	304.3		
T	44.123220000	5.181190000	305.2		
T	44.123240000	5.181510000	305.8		
T	44.123250000	5.181660000	306.4		
T	44.123240000	5.181830000	306.9		
T	44.123230000	5.181980000	307.3		
T	44.123190000	5.182130000	307.0		
T	44.123050000	5.182500000	307.0		
T	44.122960000	5.182710000	306.6		
T	44.122740000	5.183090000	306.0		
T	44.122430000	5.183610000	307.8		
T	44.122040000	5.184250000	312.7		
T	44.121900000	5.184490000	313.6		
T	44.121810000	5.184640000	313.8		
T	44.121740000	5.184740000	313.8		
T	44.121670000	5.184820000	314.3		
T	44.121590000	5.184890000	315.5		
T	44.121460000	5.184980000	317.0		
T	44.121100000	5.185190000	319.8		
T	44.120800000	5.185360000	321.8		
T	44.120680000	5.185430000	321.7		
T	44.120580000	5.185490000	321.7		
T	44.120470000	5.185560000	321.6		
T	44.120320000	5.185710000	320.9		
T	44.120100000	5.186000000	320.7		
T	44.120010000	5.186130000	320.8		
T	44.119970000	5.186200000	321.3		
T	44.119930000	5.186270000	321.8		
T	44.119800000	5.186480000	323.5		
T	44.119760000	5.186560000	323.5		
T	44.119670000	5.186710000	323.8		
T	44.119590000	5.186860000	324.5		
T	44.119550000	5.186940000	324.8		
T	44.119510000	5.187020000	325.1		
T	44.119300000	5.187380000	327.7		
T	44.119250000	5.187470000	328.0		
T	44.119030000	5.187840000	328.9		
T	44.118990000	5.187900000	328.8		
T	44.118850000	5.188090000	327.4		
T	44.118780000	5.188160000	327.8		
T	44.118730000	5.188220000	327.6		
T	44.118670000	5.188270000	327.6		
T	44.118610000	5.188320000	327.3		
T	44.118550000	5.188360000	328.2		
T	44.118490000	5.188400000	329.2		
T	44.118420000	5.188440000	330.4		
T	44.118110000	5.188620000	332.3		
T	44.117870000	5.188820000	330.5		
T	44.117820000	5.188880000	329.9		
T	44.117760000	5.188940000	329.2		
T	44.117710000	5.189010000	328.0		
T	44.117660000	5.189080000	327.0		
T	44.117620000	5.189160000	326.1		
T	44.117580000	5.189250000	326.0		
T	44.117550000	5.189330000	326.0		
T	44.117510000	5.189430000	326.0		
T	44.117390000	5.189830000	326.8		
T	44.117360000	5.189940000	326.9		
T	44.117230000	5.190350000	327.0		
T	44.117050000	5.190960000	325.4		
T	44.116910000	5.191450000	326.2		
T	44.116790000	5.191880000	327.8		
T	44.116730000	5.192000000	328.2		
T	44.116690000	5.192090000	328.5		
T	44.116650000	5.192160000	328.8		
T	44.116610000	5.192230000	329.0		
T	44.116170000	5.192950000	331.0		
T	44.115840000	5.193500000	332.6		
T	44.115650000	5.193820000	333.9		
T	44.115620000	5.193870000	334.0		
T	44.115580000	5.193940000	334.2		
T	44.115270000	5.194370000	335.9		
T	44.115210000	5.194460000	335.5		
T	44.114990000	5.194750000	335.2		
T	44.114850000	5.194930000	336.6		
T	44.114810000	5.194970000	336.9		
T	44.114610000	5.195250000	338.3		
T	44.114570000	5.195330000	338.7		
T	44.114530000	5.195380000	339.1		
T	44.114510000	5.195400000	339.2		
T	44.114370000	5.195740000	340.5		
T	44.114340000	5.195810000	340.6		
T	44.114260000	5.196080000	340.9		
T	44.113930000	5.197390000	344.9		
T	44.113920000	5.197440000	345.0		
T	44.113910000	5.197470000	345.0		
T	44.113850000	5.197760000	346.2		
T	44.113810000	5.197950000	346.6		
T	44.113760000	5.198090000	346.9		
T	44.113730000	5.198190000	347.1		
T	44.113690000	5.198280000	347.4		
T	44.113650000	5.198380000	347.6		
T	44.113610000	5.198470000	347.5		
T	44.113560000	5.198560000	347.4		
T	44.113520000	5.198650000	347.2		
T	44.113340000	5.199010000	346.6		
T	44.113290000	5.199090000	346.2		
T	44.113140000	5.199330000	346.6		
T	44.112970000	5.199540000	347.3		
T	44.112780000	5.199710000	348.0		
T	44.112570000	5.199870000	348.5		
T	44.112370000	5.200020000	349.6		
T	44.112300000	5.200070000	350.2		
T	44.111390000	5.200780000	360.2		
T	44.111340000	5.200820000	361.3		
T	44.111290000	5.200870000	362.5		
T	44.111250000	5.200930000	363.5		
T	44.111210000	5.200990000	364.3		
T	44.111180000	5.201060000	364.9		
T	44.111090000	5.201270000	364.7		
T	44.111060000	5.201350000	364.3		
T	44.111050000	5.201390000	364.1		
T	44.111010000	5.201510000	362.9		
T	44.110910000	5.201830000	360.0		
T	44.110770000	5.202270000	356.9		
T	44.110680000	5.202550000	354.7		
T	44.110460000	5.203210000	353.4		
T	44.110360000	5.203480000	354.0		
T	44.110160000	5.203930000	353.2		
T	44.109930000	5.204450000	355.0		
T	44.109890000	5.204540000	355.6		
T	44.109850000	5.204640000	356.0		
T	44.109850000	5.204650000	356.1		
T	44.109820000	5.204730000	356.4		
T	44.109720000	5.205110000	357.4		
T	44.109700000	5.205200000	357.5		
T	44.109690000	5.205300000	357.7		
T	44.109670000	5.205510000	358.3		
T	44.109660000	5.205610000	358.2		
T	44.109650000	5.205930000	357.5		
