type	latitude	longitude	altitude (m)	name	desc
W	50.771584100	3.880237100	17.6	50.7715841,3.8802371	Kaai 1, 9500 Geraardsbergen, België
W	50.772546000	3.890943900	105.2	50.772546,3.8909439	Oudeberg 4, 9500 Geraardsbergen, België

type	latitude	longitude	altitude (m)	name	desc
T	50.771580000	3.880250000	17.6	Kaai 1 - Oudeberg 4	1.3 km, 0:11
T	50.771750000	3.880220000	18.1		
T	50.772100000	3.880120000	19.2		
T	50.772230000	3.880050000	19.4		
T	50.772480000	3.879880000	19.6		
T	50.772850000	3.879660000	18.0		
T	50.773250000	3.879470000	15.1		
T	50.773250000	3.879470000	15.1		
T	50.773300000	3.880040000	17.4		
T	50.773370000	3.880710000	22.0		
T	50.773390000	3.880930000	23.5		
T	50.773460000	3.881450000	26.0		
T	50.773610000	3.882330000	32.4		
T	50.773680000	3.882690000	33.9		
T	50.773680000	3.882690000	33.9		
T	50.773730000	3.883000000	35.7		
T	50.773790000	3.883320000	38.2		
T	50.773900000	3.883790000	41.3		
T	50.773960000	3.884090000	43.4		
T	50.774010000	3.884370000	45.8		
T	50.774050000	3.884690000	48.3		
T	50.774080000	3.884910000	50.5		
T	50.774090000	3.885350000	53.2		
T	50.774080000	3.886000000	56.5		
T	50.774080000	3.886120000	57.0		
T	50.774100000	3.886760000	59.9		
T	50.774100000	3.886760000	59.9		
T	50.774110000	3.887220000	61.4		
T	50.774090000	3.887510000	62.6		
T	50.774080000	3.887790000	63.7		
T	50.774080000	3.887920000	64.6		
T	50.774090000	3.888120000	66.2		
T	50.774360000	3.889190000	74.5		
T	50.774520000	3.889940000	78.6		
T	50.774540000	3.890030000	79.3		
T	50.774550000	3.890070000	79.7		
T	50.774550000	3.890100000	79.9		
T	50.774550000	3.890160000	80.5		
T	50.774540000	3.890200000	80.9		
T	50.774540000	3.890220000	81.1		
T	50.774530000	3.890270000	81.6		
T	50.774520000	3.890330000	82.2		
T	50.774390000	3.890800000	86.5		
T	50.774310000	3.891080000	89.2		
T	50.774270000	3.891330000	89.1		
T	50.774220000	3.891980000	87.5		
T	50.774220000	3.891980000	87.5		
T	50.773910000	3.891740000	91.5		
T	50.773910000	3.891740000	91.5		
T	50.773860000	3.891700000	92.2		
T	50.773780000	3.891630000	93.2		
T	50.773690000	3.891540000	94.5		
T	50.773530000	3.891330000	97.5		
T	50.773490000	3.891270000	98.2		
T	50.773430000	3.891170000	99.3		
T	50.773430000	3.891170000	99.3		
T	50.773080000	3.890520000	102.5		
T	50.773080000	3.890520000	102.5		
T	50.773040000	3.890580000	103.1		
T	50.772970000	3.890710000	103.3		
T	50.772900000	3.890810000	103.6		
T	50.772820000	3.890930000	103.9		
T	50.772800000	3.890950000	104.0		
T	50.772770000	3.890980000	104.0		
T	50.772740000	3.891000000	104.2		
T	50.772710000	3.891010000	104.4		
T	50.772680000	3.891020000	104.6		
T	50.772650000	3.891020000	104.8		
T	50.772630000	3.891020000	104.9		
T	50.772600000	3.891020000	105.1		
T	50.772590000	3.891010000	105.1		
T	50.772580000	3.891000000	105.1		
T	50.772570000	3.890980000	105.1		
T	50.772550000	3.890950000	105.2		
T	50.772550000	3.890940000	105.1		
