type	latitude	longitude	altitude (m)	name	desc
W	51.062265000	3.707181000	11.0	Gebroeders de Smetstraat, Ghent	
W	51.155883900	4.154441000	20.7	Sint-Niklaas	

type	latitude	longitude	altitude (m)	name	desc
T	51.062260000	3.707180000	11.0	Gebroeders de Smetstraat, Ghent - Sint-Niklaas	37.5 km, 1:55
T	51.062220000	3.707300000	11.0		
T	51.062180000	3.707360000	10.8		
T	51.062040000	3.707580000	10.2		
T	51.061720000	3.708040000	9.2		
T	51.061350000	3.708580000	8.7		
T	51.060810000	3.709460000	9.1		
T	51.060270000	3.710240000	10.0		
T	51.060180000	3.710370000	9.7		
T	51.059990000	3.710730000	8.4		
T	51.059930000	3.710860000	7.9		
T	51.059930000	3.710860000	7.9		
T	51.059830000	3.711100000	7.6		
T	51.059800000	3.711160000	7.7		
T	51.059720000	3.711300000	8.0		
T	51.059650000	3.711450000	8.4		
T	51.059590000	3.711570000	8.8		
T	51.059540000	3.711850000	9.0		
T	51.059540000	3.711850000	9.0		
T	51.059590000	3.711870000	9.0		
T	51.060150000	3.712520000	9.0		
T	51.060390000	3.712810000	8.9		
T	51.060620000	3.713130000	7.8		
T	51.060720000	3.713250000	7.6		
T	51.060960000	3.713570000	8.5		
T	51.062770000	3.715960000	6.1		
T	51.064080000	3.717720000	8.1		
T	51.064470000	3.718270000	8.7		
T	51.064590000	3.718440000	10.0		
T	51.064850000	3.718860000	11.0		
T	51.064880000	3.718910000	11.0		
T	51.064980000	3.719110000	11.0		
T	51.065030000	3.719230000	10.7		
T	51.065180000	3.719640000	10.2		
T	51.065250000	3.719810000	10.1		
T	51.065660000	3.721160000	6.7		
T	51.065870000	3.721810000	5.6		
T	51.065940000	3.722020000	6.7		
T	51.066190000	3.722830000	10.3		
T	51.066450000	3.723790000	9.9		
T	51.067030000	3.726180000	5.3		
T	51.067070000	3.726300000	5.5		
T	51.067130000	3.726530000	6.2		
T	51.067260000	3.726990000	8.5		
T	51.067300000	3.727140000	9.7		
T	51.067300000	3.727140000	9.7		
T	51.067440000	3.727650000	12.0		
T	51.067520000	3.727920000	13.1		
T	51.067600000	3.728230000	13.0		
T	51.067650000	3.728470000	12.6		
T	51.067670000	3.728550000	12.4		
T	51.067710000	3.728720000	12.1		
T	51.067730000	3.728900000	11.7		
T	51.067780000	3.729370000	11.3		
T	51.067760000	3.729490000	10.6		
T	51.067710000	3.730510000	5.2		
T	51.067720000	3.731010000	2.9		
T	51.067740000	3.731300000	1.5		
T	51.067760000	3.731670000	0.3		
T	51.067780000	3.731840000	0.0		
T	51.067790000	3.732060000	0.5		
T	51.067800000	3.732270000	1.5		
T	51.067810000	3.732470000	2.9		
T	51.067810000	3.732490000	3.0		
T	51.067810000	3.732570000	3.6		
T	51.067810000	3.732680000	4.3		
T	51.067800000	3.732750000	4.8		
T	51.067790000	3.732820000	5.0		
T	51.067750000	3.732930000	5.1		
T	51.067720000	3.732980000	5.2		
T	51.067690000	3.733040000	5.3		
T	51.067660000	3.733070000	5.5		
T	51.067620000	3.733110000	5.9		
T	51.067550000	3.733160000	6.5		
T	51.067540000	3.733170000	6.6		
T	51.067440000	3.733230000	7.6		
T	51.066400000	3.733750000	8.9		
T	51.066340000	3.733780000	9.0		
T	51.066180000	3.733850000	9.0		
T	51.066130000	3.733880000	9.0		
T	51.065870000	3.733990000	7.7		
T	51.065750000	3.734050000	7.4		
T	51.065580000	3.734120000	7.2		
T	51.065280000	3.734250000	6.3		
T	51.065180000	3.734270000	6.4		
T	51.065080000	3.734330000	6.6		
T	51.064980000	3.734370000	6.7		
T	51.064900000	3.734400000	6.5		
T	51.064830000	3.734420000	6.3		
T	51.064780000	3.734430000	6.2		
T	51.064730000	3.734420000	5.9		
T	51.064670000	3.734390000	5.7		
T	51.064580000	3.734340000	5.3		
T	51.064510000	3.734290000	5.1		
T	51.064420000	3.734210000	5.1		
T	51.064370000	3.734160000	5.3		
T	51.064310000	3.734130000	5.5		
T	51.064250000	3.734110000	5.7		
T	51.064190000	3.734090000	5.9		
T	51.064110000	3.734080000	6.3		
T	51.064030000	3.734110000	6.6		
T	51.063940000	3.734140000	6.9		
T	51.063810000	3.734200000	7.4		
T	51.063590000	3.734320000	8.0		
T	51.063070000	3.734540000	11.2		
T	51.062910000	3.734620000	11.1		
T	51.062200000	3.734960000	9.8		
T	51.062010000	3.735050000	8.5		
T	51.061940000	3.735100000	8.0		
T	51.061890000	3.735140000	7.9		
T	51.061840000	3.735190000	7.7		
T	51.061780000	3.735240000	7.5		
T	51.061740000	3.735300000	7.2		
T	51.061690000	3.735380000	6.7		
T	51.061570000	3.735600000	5.8		
T	51.061480000	3.735780000	5.2		
T	51.061390000	3.735960000	4.5		
T	51.061320000	3.736060000	5.1		
T	51.061250000	3.736130000	5.9		
T	51.061170000	3.736180000	6.7		
T	51.061140000	3.736190000	7.0		
T	51.060860000	3.736320000	7.4		
T	51.060520000	3.736470000	5.7		
T	51.059930000	3.736760000	11.2		
T	51.059700000	3.736860000	14.3		
T	51.059600000	3.736920000	14.1		
T	51.059510000	3.737000000	13.8		
T	51.059220000	3.737140000	14.2		
T	51.058830000	3.737320000	8.7		
T	51.058460000	3.737530000	6.4		
T	51.058310000	3.737620000	6.8		
T	51.058230000	3.737670000	7.3		
T	51.057990000	3.737780000	8.2		
T	51.057890000	3.737830000	8.5		
T	51.057880000	3.737830000	8.5		
T	51.057610000	3.737960000	8.1		
T	51.057500000	3.737970000	8.0		
T	51.057410000	3.738010000	8.0		
T	51.057350000	3.738040000	8.0		
T	51.057260000	3.738110000	7.8		
T	51.057160000	3.738200000	7.1		
T	51.057000000	3.738360000	5.3		
T	51.056940000	3.738330000	5.0		
T	51.056880000	3.738320000	4.9		
T	51.056830000	3.738330000	4.6		
T	51.056780000	3.738350000	4.3		
T	51.056630000	3.738420000	4.0		
T	51.056290000	3.738610000	6.1		
T	51.056220000	3.738710000	6.1		
T	51.056220000	3.738710000	6.1		
T	51.056220000	3.738960000	4.9		
T	51.056250000	3.739140000	5.0		
T	51.056270000	3.739280000	5.3		
T	51.056310000	3.739430000	5.5		
T	51.056360000	3.739550000	6.0		
T	51.056410000	3.739640000	6.3		
T	51.056450000	3.739690000	6.3		
T	51.056460000	3.739710000	6.4		
T	51.056520000	3.739770000	6.4		
T	51.056530000	3.739780000	6.4		
T	51.056590000	3.739810000	6.2		
T	51.056680000	3.739850000	5.9		
T	51.056950000	3.740150000	8.0		
T	51.056990000	3.740180000	8.0		
T	51.057060000	3.740230000	8.0		
T	51.057110000	3.740260000	8.0		
T	51.057130000	3.740290000	8.0		
T	51.057150000	3.740310000	8.0		
T	51.057170000	3.740350000	8.0		
T	51.057180000	3.740380000	8.1		
T	51.057180000	3.740400000	8.1		
T	51.057190000	3.740450000	8.1		
T	51.057190000	3.740720000	7.0		
T	51.057200000	3.741010000	4.9		
T	51.057210000	3.741190000	4.6		
T	51.057240000	3.741610000	7.6		
T	51.057260000	3.741750000	8.0		
T	51.057290000	3.741920000	8.0		
T	51.057370000	3.742250000	9.0		
T	51.057400000	3.742390000	9.0		
T	51.057440000	3.742560000	9.0		
T	51.057610000	3.743330000	8.4		
T	51.057680000	3.743560000	8.9		
T	51.057780000	3.744060000	10.0		
T	51.057910000	3.744670000	10.5		
T	51.058050000	3.745310000	11.0		
T	51.058100000	3.745480000	10.9		
T	51.058200000	3.745890000	10.5		
T	51.058340000	3.746480000	10.0		
T	51.058760000	3.748320000	9.0		
T	51.058910000	3.748970000	8.1		
T	51.058990000	3.749320000	8.2		
T	51.059020000	3.749440000	8.0		
T	51.059100000	3.749820000	8.0		
T	51.059370000	3.751060000	7.4		
T	51.059960000	3.753690000	5.9		
T	51.059990000	3.753860000	5.1		
T	51.060230000	3.754930000	7.5		
T	51.060420000	3.755800000	7.1		
T	51.060550000	3.756350000	6.1		
T	51.060710000	3.757070000	5.7		
T	51.060790000	3.757420000	5.7		
T	51.061130000	3.758950000	4.9		
T	51.061340000	3.759870000	6.0		
T	51.061380000	3.760050000	7.1		
T	51.061420000	3.760200000	7.9		
T	51.061490000	3.760520000	10.5		
T	51.061590000	3.760920000	9.8		
T	51.061630000	3.761060000	9.1		
T	51.061690000	3.761280000	9.0		
T	51.061780000	3.761530000	8.3		
T	51.061830000	3.761670000	7.4		
T	51.061930000	3.761960000	8.2		
T	51.062060000	3.762320000	8.6		
T	51.062310000	3.762860000	7.6		
T	51.062510000	3.763230000	8.6		
T	51.062840000	3.763760000	8.3		
T	51.063010000	3.764010000	8.2		
T	51.063250000	3.764330000	9.0		
T	51.063780000	3.764880000	9.2		
T	51.064170000	3.765220000	9.0		
T	51.064400000	3.765390000	10.6		
T	51.064770000	3.765600000	7.5		
T	51.064820000	3.765620000	7.1		
T	51.065650000	3.766010000	6.7		
T	51.066140000	3.766250000	4.6		
T	51.066230000	3.766300000	4.8		
T	51.066380000	3.766370000	5.0		
T	51.066900000	3.766610000	5.2		
T	51.068320000	3.767280000	9.9		
T	51.068360000	3.767310000	10.0		
T	51.068650000	3.767510000	10.0		
T	51.068750000	3.767590000	10.2		
T	51.068980000	3.767780000	11.0		
T	51.069190000	3.768000000	10.8		
T	51.069300000	3.768120000	10.0		
T	51.069390000	3.768210000	9.7		
T	51.069670000	3.768580000	10.1		
T	51.069790000	3.768760000	9.2		
T	51.069930000	3.768980000	7.9		
T	51.070000000	3.769080000	7.3		
T	51.070080000	3.769230000	6.5		
T	51.070230000	3.769530000	6.0		
T	51.070340000	3.769750000	6.5		
T	51.070400000	3.769890000	7.5		
T	51.070460000	3.770020000	8.3		
T	51.070630000	3.770480000	9.1		
T	51.070730000	3.770760000	8.3		
T	51.070810000	3.771010000	7.4		
T	51.070990000	3.771560000	7.0		
T	51.071390000	3.772740000	8.9		
T	51.071530000	3.773080000	7.4		
T	51.071620000	3.773300000	5.6		
T	51.071740000	3.773570000	5.5		
T	51.071870000	3.773810000	7.2		
T	51.071970000	3.774010000	7.7		
T	51.072680000	3.775440000	6.6		
T	51.072860000	3.775780000	6.8		
T	51.072910000	3.775890000	6.4		
T	51.073010000	3.776080000	5.4		
T	51.073160000	3.776370000	5.0		
T	51.073350000	3.776730000	5.2		
T	51.073490000	3.776990000	5.7		
T	51.073660000	3.777270000	6.0		
T	51.073900000	3.777640000	6.5		
T	51.074060000	3.777890000	6.8		
T	51.074400000	3.778360000	8.8		
T	51.074630000	3.778650000	8.5		
T	51.074750000	3.778780000	8.5		
T	51.074830000	3.778880000	8.8		
T	51.074900000	3.778970000	9.3		
T	51.074980000	3.779060000	9.9		
T	51.075280000	3.779390000	8.0		
T	51.076160000	3.780370000	7.9		
T	51.076610000	3.780860000	8.8		
T	51.077360000	3.781700000	9.5		
T	51.078180000	3.782650000	7.5		
T	51.078300000	3.782820000	7.0		
T	51.078480000	3.783070000	7.5		
T	51.078730000	3.783480000	7.9		
T	51.078980000	3.783860000	8.1		
T	51.079230000	3.784330000	7.4		
T	51.079490000	3.784860000	6.5		
T	51.079750000	3.785420000	6.9		
T	51.079830000	3.785590000	6.6		
T	51.080180000	3.786380000	6.6		
T	51.080240000	3.786610000	6.9		
T	51.080400000	3.786980000	6.5		
T	51.080550000	3.787320000	5.0		
T	51.080640000	3.787530000	5.0		
T	51.081040000	3.788400000	6.0		
T	51.081150000	3.788660000	5.9		
T	51.081360000	3.789110000	6.0		
T	51.081430000	3.789280000	6.0		
T	51.081580000	3.789490000	6.0		
T	51.081940000	3.790280000	6.0		
T	51.082000000	3.790410000	6.6		
T	51.082130000	3.790710000	7.4		
T	51.082230000	3.790920000	8.6		
T	51.082360000	3.791210000	9.7		
T	51.082440000	3.791380000	10.0		
T	51.082550000	3.791620000	10.7		
T	51.082550000	3.791630000	10.7		
T	51.082630000	3.791810000	10.5		
T	51.082760000	3.792080000	10.1		
T	51.082830000	3.792240000	9.4		
T	51.082960000	3.792550000	8.2		
T	51.083100000	3.792880000	8.3		
T	51.083280000	3.793340000	9.2		
T	51.083390000	3.793630000	8.8		
T	51.083390000	3.793650000	8.8		
T	51.083560000	3.794130000	8.0		
T	51.083710000	3.794540000	7.4		
T	51.084040000	3.795490000	7.7		
T	51.084220000	3.795990000	7.1		
T	51.084260000	3.796130000	7.3		
T	51.084550000	3.796950000	7.6		
T	51.084720000	3.797430000	7.0		
T	51.085490000	3.799630000	5.0		
T	51.085640000	3.800070000	5.2		
T	51.085710000	3.800270000	5.4		
T	51.085790000	3.800520000	6.2		
T	51.086110000	3.801420000	7.1		
T	51.086450000	3.802400000	7.4		
T	51.087670000	3.805880000	5.6		
T	51.087880000	3.806490000	6.0		
T	51.087920000	3.806590000	6.2		
T	51.087990000	3.806800000	6.6		
T	51.088180000	3.807340000	7.6		
T	51.088250000	3.807520000	7.3		
T	51.088250000	3.807530000	7.4		
T	51.088510000	3.808280000	7.1		
T	51.088620000	3.808620000	6.9		
T	51.088710000	3.808900000	6.0		
T	51.088880000	3.809350000	6.0		
T	51.089250000	3.810400000	6.4		
T	51.089300000	3.810530000	6.9		
T	51.089360000	3.810720000	7.0		
T	51.089520000	3.811160000	6.0		
T	51.089680000	3.811620000	6.7		
T	51.089910000	3.812300000	5.9		
T	51.089940000	3.812390000	5.9		
T	51.090110000	3.812860000	5.0		
T	51.090180000	3.813060000	5.0		
T	51.090290000	3.813370000	5.0		
T	51.090360000	3.813580000	5.3		
T	51.090600000	3.814290000	7.6		
T	51.090780000	3.814770000	8.7		
T	51.091060000	3.815590000	5.3		
T	51.091530000	3.816910000	5.0		
T	51.091900000	3.817960000	6.0		
T	51.092230000	3.818930000	6.1		
T	51.092530000	3.819770000	8.0		
T	51.092750000	3.820400000	7.1		
T	51.092800000	3.820690000	7.0		
T	51.092960000	3.821180000	7.7		
T	51.093200000	3.821890000	8.0		
T	51.093350000	3.822330000	7.9		
T	51.093450000	3.822610000	7.7		
T	51.093560000	3.822890000	8.0		
T	51.093600000	3.822980000	8.0		
T	51.093670000	3.823180000	7.4		
T	51.093820000	3.823600000	7.0		
T	51.093880000	3.823770000	7.0		
T	51.093950000	3.823970000	7.4		
T	51.094030000	3.824210000	8.2		
T	51.094100000	3.824470000	9.0		
T	51.094200000	3.824790000	9.1		
T	51.094280000	3.825110000	9.4		
T	51.094470000	3.825870000	9.0		
T	51.094580000	3.826300000	8.5		
T	51.094810000	3.827200000	7.1		
T	51.094970000	3.827870000	7.9		
T	51.095170000	3.828660000	7.8		
T	51.095300000	3.829190000	7.0		
T	51.095520000	3.830070000	9.0		
T	51.095650000	3.830610000	8.7		
T	51.095710000	3.830830000	8.4		
T	51.095750000	3.831010000	8.9		
T	51.095790000	3.831220000	9.2		
T	51.095810000	3.831390000	9.1		
T	51.095840000	3.831530000	9.5		
T	51.095920000	3.831930000	10.0		
T	51.096060000	3.832530000	9.7		
T	51.096200000	3.833060000	9.0		
T	51.096300000	3.833450000	9.7		
T	51.096470000	3.834070000	8.0		
T	51.096530000	3.834280000	7.3		
T	51.096650000	3.834710000	7.9		
T	51.096730000	3.835020000	9.0		
T	51.096760000	3.835170000	9.0		
T	51.096800000	3.835320000	9.1		
T	51.096890000	3.835670000	9.2		
T	51.096950000	3.835880000	8.8		
T	51.097020000	3.836160000	7.7		
T	51.097040000	3.836270000	7.7		
T	51.097170000	3.836760000	8.0		
T	51.097340000	3.837440000	7.6		
T	51.097340000	3.837450000	7.6		
T	51.097430000	3.837810000	6.2		
T	51.097620000	3.838540000	5.0		
T	51.097630000	3.838570000	5.0		
T	51.097710000	3.838860000	5.7		
T	51.097750000	3.838980000	5.9		
T	51.097790000	3.839100000	6.0		
T	51.097840000	3.839270000	6.1		
T	51.098050000	3.840160000	7.0		
T	51.098200000	3.840760000	8.0		
T	51.098550000	3.842170000	7.4		
T	51.098690000	3.842740000	6.7		
T	51.098770000	3.843070000	6.4		
T	51.098800000	3.843250000	6.1		
T	51.098840000	3.843430000	6.0		
T	51.098860000	3.843560000	6.0		
T	51.098890000	3.843680000	6.0		
T	51.098910000	3.843790000	6.0		
T	51.098980000	3.844040000	6.3		
T	51.099030000	3.844280000	6.5		
T	51.099120000	3.844630000	6.8		
T	51.099340000	3.845520000	6.4		
T	51.099430000	3.845880000	6.2		
T	51.099570000	3.846430000	6.5		
T	51.099670000	3.846820000	6.0		
T	51.100050000	3.848360000	6.0		
T	51.100110000	3.848580000	6.0		
T	51.100110000	3.848600000	6.0		
T	51.100120000	3.848620000	6.0		
T	51.100130000	3.848640000	6.0		
T	51.100160000	3.848690000	6.0		
