type	latitude	longitude	altitude (m)	name	desc
W	51.062265000	3.707181000	11.0	Gebroeders de Smetstraat, Ghent	
W	50.886894900	3.423167500	15.1	Waregem	

type	latitude	longitude	altitude (m)	name	desc
T	51.062260000	3.707180000	11.0	Gebroeders de Smetstraat, Ghent - Waregem	32.9 km, 1:40
T	51.062380000	3.706940000	11.4		
T	51.062610000	3.706420000	11.0		
T	51.062740000	3.706130000	11.0		
T	51.062880000	3.705840000	10.0		
T	51.063010000	3.705650000	10.0		
T	51.063260000	3.705130000	10.0		
T	51.063260000	3.705130000	10.0		
T	51.062980000	3.704750000	9.7		
T	51.062720000	3.704460000	9.0		
T	51.062330000	3.704000000	8.8		
T	51.062300000	3.703860000	8.4		
T	51.062300000	3.703860000	8.4		
T	51.062210000	3.703980000	8.0		
T	51.062210000	3.703980000	8.0		
T	51.062150000	3.703850000	7.6		
T	51.062000000	3.703490000	6.1		
T	51.061930000	3.703320000	6.2		
T	51.061930000	3.703320000	6.2		
T	51.061870000	3.703390000	6.5		
T	51.060450000	3.704860000	8.7		
T	51.060110000	3.705220000	8.8		
T	51.059790000	3.705580000	8.1		
T	51.059490000	3.705870000	7.3		
T	51.059490000	3.705870000	7.3		
T	51.058960000	3.704520000	11.0		
T	51.058890000	3.704340000	10.6		
T	51.058890000	3.704340000	10.6		
T	51.058740000	3.703940000	10.0		
T	51.058560000	3.703490000	10.2		
T	51.058420000	3.703160000	10.1		
T	51.058370000	3.703080000	10.0		
T	51.058160000	3.702610000	8.4		
T	51.057920000	3.702180000	7.4		
T	51.057880000	3.702100000	7.4		
T	51.057880000	3.702100000	7.4		
T	51.057590000	3.701510000	7.3		
T	51.057090000	3.700400000	7.2		
T	51.057060000	3.700320000	7.2		
T	51.056900000	3.699970000	7.7		
T	51.056750000	3.699680000	7.0		
T	51.056640000	3.699330000	7.4		
T	51.056630000	3.699280000	7.5		
T	51.056590000	3.698950000	7.7		
T	51.056570000	3.698650000	7.1		
T	51.056310000	3.696120000	6.0		
T	51.056190000	3.695210000	8.1		
T	51.056200000	3.695140000	8.2		
T	51.056190000	3.695050000	8.2		
T	51.056180000	3.694940000	8.0		
T	51.056180000	3.694810000	7.4		
T	51.056130000	3.694490000	6.9		
T	51.056020000	3.693770000	6.8		
T	51.055950000	3.693240000	6.8		
T	51.055930000	3.693140000	6.5		
T	51.055820000	3.692280000	6.9		
T	51.055770000	3.691880000	7.5		
T	51.055730000	3.691620000	7.1		
T	51.055640000	3.690950000	5.7		
T	51.055590000	3.690530000	6.0		
T	51.055560000	3.690330000	6.0		
T	51.055560000	3.690270000	6.0		
T	51.055480000	3.689610000	5.4		
T	51.055190000	3.687280000	8.7		
T	51.054870000	3.684680000	5.8		
T	51.054710000	3.683580000	6.1		
T	51.054580000	3.682570000	5.2		
T	51.054380000	3.680940000	5.6		
T	51.054380000	3.680890000	5.8		
T	51.054320000	3.680440000	5.6		
T	51.054240000	3.679970000	4.3		
T	51.054230000	3.679880000	4.2		
T	51.054130000	3.679220000	3.4		
T	51.054090000	3.678980000	3.6		
T	51.054030000	3.678530000	4.0		
T	51.054000000	3.678380000	4.2		
T	51.053910000	3.677690000	4.3		
T	51.053900000	3.677660000	4.4		
T	51.053810000	3.676910000	5.8		
T	51.053780000	3.676620000	6.7		
T	51.053780000	3.676620000	6.7		
T	51.053640000	3.675590000	7.9		
T	51.053350000	3.673330000	5.0		
T	51.053340000	3.673220000	4.6		
T	51.053310000	3.673060000	4.1		
